service;species;value;reliability;cultural_condition
storage_and_return_water;Arctium minus;0.15350401401519775;16.66666603088379;natural
storage_and_return_water;Polygonum tenue;0.03952578082680702;16.66666603088379;natural
nitrogen_provision;Panicum dichotomiflorum;0.4181416928768158;44.44444274902344;natural
nitrogen_provision;Carex glacialis;0.1666666716337204;11.11111068725586;natural
nitrogen_provision;Pelargonium ternifolium;0.0416666679084301;11.11111068725586;natural
nitrogen_provision;Rhynchosia senna;0.5042437314987183;22.22222137451172;natural
nitrogen_provision;Agave gerardii;0.477983295917511;22.22222137451172;natural
nitrogen_provision;Gymnadenia nigra;0;11.11111068725586;natural
nitrogen_provision;Pulsatilla turczaninovii;0.3910868465900421;22.22222137451172;natural
storage_and_return_water;Lathyrus dielsianus;0.0017333552241325378;16.66666603088379;natural
nitrogen_provision;Botrychium dissectum;0.01577298901975155;11.11111068725586;natural
soil_structuration;Potentilla tabernaemontani;0.23322178423404694;44.44444274902344;natural
nitrogen_provision;Sporobolus contractus;0.021768828853964806;11.11111068725586;natural
storage_and_return_water;Symphyotrichum cordifolium;0.04592046141624451;16.66666603088379;natural
nitrogen_provision;Seriphidium leucotrichum;0.059597574174404144;11.11111068725586;natural
storage_and_return_water;Scrophularia lanceolata;0.0283521618694067;16.66666603088379;natural
storage_and_return_water;Cuphonotus humistratus;0.015044135972857475;16.66666603088379;natural
storage_and_return_water;Sorghastrum nutans;0.1757819801568985;66.66666412353516;natural
nitrogen_provision;Trifolium pallidum;1;11.11111068725586;natural
nitrogen_provision;Veronica fruticulosa;0.37885046005249023;22.22222137451172;natural
storage_and_return_water;Gentiana sino-ornata;0.017611069604754448;16.66666603088379;natural
nitrogen_provision;Colutea buhsei;0.4635235667228699;22.22222137451172;natural
nitrogen_provision;Trifolium nigrescens;0.579910397529602;33.33333206176758;natural
storage_and_return_water;Aphelandra crispata;0.18232710659503937;16.66666603088379;natural
nitrogen_provision;Astragalus;0.6841569542884827;33.33333206176758;natural
storage_and_return_water;Rhodanthe moschata;0.029191097244620323;16.66666603088379;natural
nitrogen_provision;Torilis nodosa;0.4505586624145508;22.22222137451172;natural
nitrogen_provision;Artemisia fukudo;0.1666666716337204;11.11111068725586;natural
soil_structuration;Drymaria molluginea;0.2578987777233124;11.11111068725586;natural
storage_and_return_water;Erigeron;0.1307724267244339;16.66666603088379;natural
storage_and_return_water;Glandularia bipinnatifida;0.08720650523900986;16.66666603088379;natural
storage_and_return_water;Solanum esuriale;0.007183561567217112;16.66666603088379;natural
soil_structuration;Sida acuta;0.020814554765820503;11.11111068725586;natural
storage_and_return_water;Comandra umbellata ssp. pallida;0.009479341097176075;16.66666603088379;natural
nitrogen_provision;Ricciocarpos natans;0.10343659669160843;11.11111068725586;natural
nitrogen_provision;Mertensia lanceolata;0.4806276559829712;44.44444274902344;natural
nitrogen_provision;Chrysopogon latifolius;0.0833333358168602;11.11111068725586;natural
nitrogen_provision;Smyrnium olusatrum;0.5983033180236816;22.22222137451172;natural
nitrogen_provision;Calamagrostis;0;11.11111068725586;natural
storage_and_return_water;Calamagrostis varia;0.024485526606440544;16.66666603088379;natural
nitrogen_provision;Deschampsia flexuosa;0.33882173895835876;88.88888549804688;natural
soil_structuration;Bouteloua curtipendula;0.13898928463459015;11.11111068725586;natural
storage_and_return_water;Thelypteris confluens;0.18531648814678192;16.66666603088379;natural
nitrogen_provision;Panicum erectifolium;0.3010614216327667;22.22222137451172;natural
storage_and_return_water;Artemisia;0.0581841804087162;33.33333206176758;natural
nitrogen_provision;Fragaria vesca;0.539898157119751;55.55555725097656;natural
nitrogen_provision;Pimelea trichostachya;0.008033006452023983;11.11111068725586;natural
nitrogen_provision;Carex atherodes;0.470096617937088;22.22222137451172;natural
soil_structuration;Sonchus asper;0.22115199267864227;44.44444274902344;natural
nitrogen_provision;Taraxacum dissectum;0.10091637074947357;11.11111068725586;natural
